appId,summary,free,genre,installs,ratings,price,size,contentRating,reviews,released,adSupported,sale,editorsChoice
com.andromo.dev457443.app440949,Get updates on amazing designs from all over Nigeria and the world,True,Lifestyle,"100,000+",513.0,0.0,7.1M,Rated for 3+,132,"Oct 6, 2015",True,False,False
com.andromo.dev663676.app815871,2019 New Fashion Styles.,True,Lifestyle,"100,000+",316.0,0.0,24M,Rated for 3+,99,"Jun 18, 2018",True,False,False
org.lwnm.digitallib,Mobile platform that let’s users access audio and video messages by Pastor Chris,True,Lifestyle,"100,000+",5385.0,0.0,12M,Rated for 3+,2703,"Apr 26, 2013",,False,False
com.menafricanfashion.ng,"Get different latest African Men Fashion styles & design for Men, Kids & Couples",True,Lifestyle,"100,000+",863.0,0.0,7.8M,Rated for 3+,369,"Oct 28, 2017",True,False,False
com.gele.ng,This Mobile application shows step by step ways to tie different styles of Gele.,True,Lifestyle,"100,000+",1185.0,0.0,3.9M,Rated for 3+,461,"Apr 24, 2016",True,False,False
com.LatestAsoebiFashionStyles.MintamaApps,Conventional Fabulous Aso Ebi Style For The Fashionista,True,Lifestyle,"100,000+",520.0,0.0,8.7M,Rated for 3+,97,"May 1, 2017",True,False,False
com.swiftng.redcheetah,Red Cheetah is a lifestyle app that gives you access to a world of free Internet,True,Lifestyle,"100,000+",1314.0,0.0,14M,Rated for 3+,794,"Feb 25, 2018",True,False,False
com.gremamedia.naijalotto,Install For Quickest Naija Lottery results,True,Lifestyle,"50,000+",1655.0,0.0,10M,Rated for 3+,903,"Nov 25, 2018",True,False,False
com.mobobi.yorubaproverbs,"The only Yoruba proverbs app with offline audio, english translations & meanings",True,Lifestyle,"50,000+",3079.0,0.0,4.6M,Rated for 3+,1621,"May 21, 2020",True,False,False
al_quran.hausa.koran.islamic.quran,Harshen Hausa Al Kur'ani (Holy Quran) - Audio + Rubutu. Quran in Hausa language,True,Lifestyle,"50,000+",217.0,0.0,4.0M,Rated for 12+,83,"May 31, 2018",True,False,False
com.andromo.dev455392.app603530,Listen to Gospel Praise and Worship daily. Praise the Lord your God.,True,Lifestyle,"50,000+",98.0,0.0,3.6M,Rated for 3+,24,"Apr 2, 2017",True,False,False
com.nigeriapropertycentre.app,Search for property for sale and rent with ease on Nigeria Property Centre (NPC),True,Lifestyle,"50,000+",730.0,0.0,2.6M,Rated for 3+,382,"May 31, 2016",,False,False
