appId,summary,free,genre,installs,ratings,price,size,contentRating,reviews,released,adSupported,sale,editorsChoice
com.tonielrosoft.classicludofree,Naija Ludo is a classic dice and race game for all ages.,True,Board,"5,000,000+",19546.0,0.0,13M,Rated for 3+,8381,"Nov 5, 2015",True,False,False
com.tonielro.mygdxgame,Naija Whot is a classic card game for all ages.,True,Card,"500,000+",1674.0,0.0,12M,Rated for 3+,851,"Dec 4, 2014",,False,False
com.tonielrosoft.snakeladder,Naija Snakes and Ladders is a classic board game of all ages.,True,Board,"10,000+",165.0,0.0,18M,Rated for 3+,78,"Jan 9, 2017",True,False,False
air.yoruba101,A Yorùbá language teaching app for kids,True,Education,"50,000+",384.0,0.0,Varies with device,Rated for 3+,187,"May 13, 2013",,False,False
com.maliyo.whotking,FREE addictive Whot card matching game online. Play Naija Whot game with friends,True,Card,"10,000+",260.0,0.0,68M,Rated for 3+,158,"Oct 12, 2020",True,False,False
com.akwukwo.app,Learn Igbo for Kids app is the No. 1 resource for learning the Igbo language.,True,Educational,"5,000+",75.0,0.0,24M,Rated for 3+,45,"Mar 6, 2018",,False,False
com.service_companion_latest.app,Interview Guide for Public and Civil Servants in Nigeria,True,Educational,"1,000+",6.0,0.0,9.5M,Rated for 3+,4,"Mar 22, 2019",,False,False
com.dulceprime.nigeriaspellingbee,Practice and learn new words with the Nigeria Spelling Bee game,True,Educational,"5,000+",33.0,0.0,7.9M,Rated for 3+,23,"Dec 2, 2019",True,False,False
com.Happy.ChicasNuevas,"Happy Discover adventure, a Nigerian heroin in their struggle for freedom",True,Adventure,"1,000+",82.0,0.0,97M,Rated for 12+,26,"Sep 9, 2017",,False,False
naira.bets,I work  24/7 to bring you well analysed football Predictions.,True,Sports,"1,000+",205.0,0.0,9.3M,Rated for 12+,137,"Jul 8, 2019",True,False,False
classic.soccer.league.nga,"Nigerian Professional Football League. Fixtures, standings, matches & statistics",True,Sports,"1,000+",12.0,0.0,2.8M,Rated for 3+,6,"Dec 12, 2017",True,False,False
com.cowbellpedia.gameshowapp,Cowbellpedia Secondary Schools Mathematics TV Quiz Show,True,Educational,"50,000+",1055.0,0.0,28M,Rated for 3+,501,"Feb 8, 2016",,False,False
com.rogiestudio.naijajabet,Get 98% Accurate B.9ja Odds Free for all Leagues,True,Sports,"100,000+",1152.0,0.0,10M,Rated for 3+,714,"Mar 8, 2019",True,False,False
com.nigerian.newspapers.nigeria_news,Latest Sports and Football News in Nigeria,True,Sports,"10,000+",10.0,0.0,17M,Rated for 3+,5,"Apr 12, 2019",True,False,False
io.kodular.johnson_olapade.LudoStar,Naija Ludo Premium is a classic dice game with a set of dice.,True,Puzzle,"10,000+",27.0,0.0,6.8M,Rated for 3+,12,"Sep 23, 2019",True,False,False
com.mancommng.hausakacicikacici,Kacici Kacicin kalmomi da sunayen Hausa domin nishadi da debe kewa.,True,Word,"5,000+",29.0,0.0,14M,Rated for 3+,12,"Dec 28, 2018",True,False,False
com.bisonplay.mrokadahd,Mr Okada is back in HD,True,Simulation,"1,000+",32.0,0.0,78M,Rated for 3+,26,"Oct 12, 2020",,False,False
com.deluxecreation.chikesky,"How far can you fly, help Chike fly like a Jetman & dodge like superman!",True,Arcade,"1,000+",96.0,0.0,36M,Rated for 3+,74,"Sep 14, 2017",True,False,False
com.ralph.solutiontipster,SolutionTipster - Best Football Pools and Online Betting Blog,True,Sports,"1,000+",38.0,0.0,1.5M,Rated for 12+,20,"Nov 10, 2019",True,False,False
ng.com.beanstudios.akogun,The much anticipated indigenously Nigerian and African game is now available.,True,Action,"5,000+",83.0,0.0,25M,Rated for 7+,30,"Oct 15, 2014",,False,False
com.manmunir.kwanaquize,Asslamu Alaikum.,True,Trivia,"5,000+",38.0,0.0,24M,Rated for 3+,16,"May 20, 2019",True,False,False
com.tplusplus.indomierunner,Indomitables Game,True,Casual,"10,000+",522.0,0.0,54M,Rated for 3+,349,"Aug 21, 2019",,False,False
lotto.keys,Win Ghana lottery with the lottokeys app. Draw Results and Forecasts.,True,Sports,"50,000+",203.0,0.0,4.9M,Rated for 3+,113,"Oct 30, 2018",True,False,False
